task_name,method,prompt_detail,n,rank
music_viz_gen,best-of-n,no_critique,2,3.4
music_viz_gen,best-of-n,no_critique,4,3.6
music_viz_gen,best-of-n,no_critique,8,1.0
music_viz_gen,best-of-n,no_critique,16,3.4
music_viz_gen,best-of-n,no_critique,control,3.6
music_viz_gen,best-of-n,no_prompt_no_critique,2,1.0
music_viz_gen,best-of-n,no_prompt_no_critique,4,3.0
music_viz_gen,best-of-n,no_prompt_no_critique,8,3.6
music_viz_gen,best-of-n,no_prompt_no_critique,16,3.6
music_viz_gen,best-of-n,no_prompt_no_critique,control,3.8
music_viz_gen,best-of-n,with_critique,2,2.2
music_viz_gen,best-of-n,with_critique,4,2.8
music_viz_gen,best-of-n,with_critique,8,3.8
music_viz_gen,best-of-n,with_critique,16,2.4
music_viz_gen,best-of-n,with_critique,control,3.8
music_viz_gen,combine-n,no_critique,2,1.4
music_viz_gen,combine-n,no_critique,4,3.8
music_viz_gen,combine-n,no_critique,8,2.2
music_viz_gen,combine-n,no_critique,16,3.4
music_viz_gen,combine-n,no_critique,control,4.2
music_viz_gen,combine-n,no_prompt_no_critique,2,1.8
music_viz_gen,combine-n,no_prompt_no_critique,4,2.4
music_viz_gen,combine-n,no_prompt_no_critique,8,2.6
music_viz_gen,combine-n,no_prompt_no_critique,16,3.4
music_viz_gen,combine-n,no_prompt_no_critique,control,4.8
music_viz_gen,combine-n,with_critique,2,1.6
music_viz_gen,combine-n,with_critique,4,3.8
music_viz_gen,combine-n,with_critique,8,2.4
music_viz_gen,combine-n,with_critique,16,3.2
music_viz_gen,combine-n,with_critique,control,4.0
summarize_intro,best-of-n,no_critique,2,3.6
summarize_intro,best-of-n,no_critique,4,2.4
summarize_intro,best-of-n,no_critique,8,2.6
summarize_intro,best-of-n,no_critique,16,3.4
summarize_intro,best-of-n,no_critique,control,3.0
summarize_intro,best-of-n,no_prompt_no_critique,2,4.6
summarize_intro,best-of-n,no_prompt_no_critique,4,1.4
summarize_intro,best-of-n,no_prompt_no_critique,8,3.8
summarize_intro,best-of-n,no_prompt_no_critique,16,2.2
summarize_intro,best-of-n,no_prompt_no_critique,control,3.0
summarize_intro,best-of-n,with_critique,2,4.0
summarize_intro,best-of-n,with_critique,4,2.0
summarize_intro,best-of-n,with_critique,8,2.0
summarize_intro,best-of-n,with_critique,16,2.8
summarize_intro,best-of-n,with_critique,control,4.2
summarize_intro,combine-n,no_critique,2,2.2
summarize_intro,combine-n,no_critique,4,1.8
summarize_intro,combine-n,no_critique,8,3.6
summarize_intro,combine-n,no_critique,16,3.4
summarize_intro,combine-n,no_critique,control,4.0
summarize_intro,combine-n,no_prompt_no_critique,2,2.6
summarize_intro,combine-n,no_prompt_no_critique,4,2.4
summarize_intro,combine-n,no_prompt_no_critique,8,4.0
summarize_intro,combine-n,no_prompt_no_critique,16,2.6
summarize_intro,combine-n,no_prompt_no_critique,control,3.4
summarize_intro,combine-n,with_critique,2,3.0
summarize_intro,combine-n,with_critique,4,2.6
summarize_intro,combine-n,with_critique,8,2.6
summarize_intro,combine-n,with_critique,16,3.2
summarize_intro,combine-n,with_critique,control,3.6
