task_name,n,method,prompt_detail,rank
music_viz_gen,2,best-of-n,no_critique,5.8
music_viz_gen,2,best-of-n,no_prompt_no_critique,4.0
music_viz_gen,2,best-of-n,with_critique,4.0
music_viz_gen,2,combine-n,no_critique,2.6
music_viz_gen,2,combine-n,no_prompt_no_critique,3.0
music_viz_gen,2,combine-n,with_critique,2.6
music_viz_gen,2,control,original,6.0
music_viz_gen,4,best-of-n,no_critique,6.0
music_viz_gen,4,best-of-n,no_prompt_no_critique,5.0
music_viz_gen,4,best-of-n,with_critique,5.8
music_viz_gen,4,combine-n,no_critique,2.6
music_viz_gen,4,combine-n,no_prompt_no_critique,1.8
music_viz_gen,4,combine-n,with_critique,1.8
music_viz_gen,4,control,original,5.0
music_viz_gen,8,best-of-n,no_critique,2.4
music_viz_gen,8,best-of-n,no_prompt_no_critique,5.2
music_viz_gen,8,best-of-n,with_critique,5.8
music_viz_gen,8,combine-n,no_critique,3.0
music_viz_gen,8,combine-n,no_prompt_no_critique,2.2
music_viz_gen,8,combine-n,with_critique,4.4
music_viz_gen,8,control,original,5.0
music_viz_gen,16,best-of-n,no_critique,6.2
music_viz_gen,16,best-of-n,no_prompt_no_critique,5.6
music_viz_gen,16,best-of-n,with_critique,1.8
music_viz_gen,16,combine-n,no_critique,3.4
music_viz_gen,16,combine-n,no_prompt_no_critique,3.6
music_viz_gen,16,combine-n,with_critique,1.6
music_viz_gen,16,control,original,5.8
summarize_intro,2,best-of-n,no_critique,2.4
summarize_intro,2,best-of-n,no_prompt_no_critique,6.0
summarize_intro,2,best-of-n,with_critique,5.2
summarize_intro,2,combine-n,no_critique,3.0
summarize_intro,2,combine-n,no_prompt_no_critique,4.0
summarize_intro,2,combine-n,with_critique,2.6
summarize_intro,2,control,original,4.8
summarize_intro,4,best-of-n,no_critique,5.6
summarize_intro,4,best-of-n,no_prompt_no_critique,3.4
summarize_intro,4,best-of-n,with_critique,6.0
summarize_intro,4,combine-n,no_critique,3.4
summarize_intro,4,combine-n,no_prompt_no_critique,4.0
summarize_intro,4,combine-n,with_critique,1.6
summarize_intro,4,control,original,4.0
summarize_intro,8,best-of-n,no_critique,6.2
summarize_intro,8,best-of-n,no_prompt_no_critique,5.4
summarize_intro,8,best-of-n,with_critique,4.2
summarize_intro,8,combine-n,no_critique,2.6
summarize_intro,8,combine-n,no_prompt_no_critique,3.2
summarize_intro,8,combine-n,with_critique,3.6
summarize_intro,8,control,original,2.8
summarize_intro,16,best-of-n,no_critique,5.0
summarize_intro,16,best-of-n,no_prompt_no_critique,2.4
summarize_intro,16,best-of-n,with_critique,4.25
summarize_intro,16,combine-n,no_critique,5.0
summarize_intro,16,combine-n,no_prompt_no_critique,4.4
summarize_intro,16,combine-n,with_critique,2.2
summarize_intro,16,control,original,4.0
